Instrument	Manufacturer	Model No.	Serial Number	Old Instrument Name	New Instrument Name	Data Product(s)	Mobile/Fixed (loc)	Host	Scientist	Category	Descriptor	Owner
NOx	Air Quality Design Inc	bespoke			ncas-fast-nox-1	nox-noxy-concentration	fixed - BTTAO	York	James Lee	gas phase	NCAS Fast response NOx Monitor unit 1	NCAS
O3	ThermoScientific	49i			ncas-49i-o3-3	o3-concentration	fixed - BTTAO	York	James Lee	gas phase	NCAS Thermo 49i O3 Monitor unit 3	NCAS
Anemometer Cup & Vane	Vector instrument WS and WD		SB1/5187 (wind speed),|T99/2999 (wind direction)		ncas-anemometer-2	mean-winds	fixed - CAO	STFC	Judith Jeffery	Winds	NCAS Mechanicle Anemometer unit 2	NCAS
Camera	AXIS Communications	AXIS2100			ncas-cam-7	images - data product not defined	fixed - CAO	STFC	Judith Jeffery	imager	NCAS Camera unit 7	NCAS
Camera - Cloud	AXIS Communications	AXIS 0556-001			ncas-cam-9	images - data product not defined	fixed - CAO	STFC	Judith Jeffery	imager	NCAS Camera unit 9	NCAS
Camera - Cloud	JVC	JVC KYF55-BE			ncas-cam-8	images - data product not defined	fixed - CAO	STFC	Judith Jeffery	imager	NCAS Camera unit 8	NCAS
Camera - Cloud - Sparsholt					ncas-cam-10	images - data product not defined	fixed - CAO	STFC	Judith Jeffery	imager	NCAS Camera unit 10	NCAS
Ceilometer	Vaisala	CL51	K0150001		ncas-ceilometer-5	aerosol-backscatter, |cloud-base|cloud-coverage	fixed - CAO	STFC	Judith Jeffery	profiler	NCAS Lidar Ceilometer unit 5	NCAS
Disdrometer	Distromet		3020214 now, others in past		ncas-disdrometer-2	precipitation	fixed - CAO	STFC	Judith Jeffery	precipitation	NCAS Disdrometer unit 2	NCAS
Disdrometer	Distromet		2770211 now, different in past		ncas-disdrometer-1	precipitation	fixed - CAO	STFC	Judith Jeffery	precipitation	NCAS Disdrometer unit 1	NCAS
Grimm OPC	Grimm Aerosol Technik		7H130008		ncas-opc-2	aerosol-size-distribution	fixed - CAO	STFC	Judith Jeffery	aerosol	NCAS Optical Particle Counter unit 2	NCAS
